,state
Borno,1699
Kaduna,749
Delta,549
Rivers,531
Benue,481
Lagos,392
Plateau,384
Zamfara,362
Katsina,344
Bayelsa,295
Taraba,291
Edo,275
Ondo,275
Adamawa,269
Niger,259
Ogun,254
Imo,253
Kogi,237
Federal Capital Territory,221
Oyo,207
Anambra,204
Cross River,180
Osun,166
Ekiti,163
Akwa Ibom,161
Ebonyi,154
Yobe,152
Kwara,137
Abia,132
Enugu,126
Nasarawa,111
Sokoto,104
Kano,99
Bauchi,89
Nassarawa,82
Extrême-Nord,67
Diffa,61
Jigawa,54
Gombe,52
Kebbi,30
Lac,26
Tillabéri,4
N'Djamena,3
Maradi,2
Mbreche,2
lac,2
Tahoua,2
imo,2
Koza,1
Sagme,1
Nord-Ouest,1
Ngouboua,1
Mayo Moskota,1
Kofia,1
kogi,1
