,Lowest,Highest,Month-on-Month,Year-on-Year
0,Borno (411.67),Bayelsa (800),2.43,27.31
1,Taraba (41.51),Ogun (70.06),3.35,28.15
2,Bauchi (234.29),Anambra (899.4),2.39,46.47
3,Bauchi (235.22),Ebonyi (887.77),2.59,54.61
4,Taraba (975.2),Abuja (1885.99),1.98,26.37
5,Gombe (1248.2),Abuja (2533.33),2.45,30.01
6,Bauchi (246.67),Abuja (605.75),5.6,23.04
7,Plateau (238.75),Abuja (633.58),1.91,19.36
8,Nasarawa (301.54),Lagos (842.5),1.08,3.91
9,Yobe (731.82),Abia (2000.35),2.74,19.74
10,Zamfara (1300),Abuja (3553.53),2.86,12.8
11,Benue (1324.25),Abia (2178.71),2.67,8.28
12,Taraba (305.21),Delta (1445.45),2.56,21.07
13,Adamawa (495.1),Delta (2023.64),3.13,20.59
14,Ondo (1241.62),Abia (2523.09),2.03,10.61
15,Anambra (125.06),Edo (271.43),3.12,17.85
16,Benue (172.83),Ondo (343.53),8.0,18.98
17,Taraba (1360.25),Abuja (3200),1.68,11.76
18,Katsina (200),Ebonyi (468.36),3.32,25.3
19,Kebbi (221.33),Ebonyi (507.58),2.38,22.82
20,Kogi (500),Ebonyi (1333.33),4.44,35.54
21,Bauchi (862.1),Edo (1882.05),2.26,21.82
22,Plateau (161.79),Ebonyi (850),9.74,26.35
23,Bauchi (911.16),Anambra (2046.09),2.65,28.29
24,Adamawa (150.38),Bayelsa (465.44),2.32,32.92
25,Adamawa (151.48),Bayelsa (465.96),2.41,34.02
26,Bauchi (723.8),Abuja (1875),2.55,19.35
27,Bauchi (1294.89),Abia (2950.4),2.54,8.4
28,Nasarawa (129.23),Akwa Ibom (679.71),11.41,-10.12
29,Kwara (446.67),Enugu (1063.89),6.59,42.79
30,Gombe (136.89),Anambra (488.18),-1.19,19.05
31,Cross River (169.13),Anambra (405.36),-0.33,20.6
32,Jigawa (345),Akwa Ibom (668.58),0.84,4.32
33,Kebbi (315.84),Bayelsa (588.9),1.44,4.06
34,Kebbi (297.91),Bayelsa (671.43),2.87,7.13
35,Borno (400.64),Rivers (790.14),2.81,3.41
36,Bauchi (122.53),Akwa Ibom (386.57),5.27,25.71
37,Bauchi (448.13),Abuja (2000.56),2.46,26.72
38,Adamawa (840.7),Delta (2287.4),1.88,37.92
39,Bauchi (121.27),Abia (682.56),0.61,10.58
40,Niger (495.89),Ekiti (1250),6.18,38.93
41,Niger (695.12),Abuja (1240),4.15,26.75
42,Taraba (125.33),Lagos (600.27),4.63,38.64
43,,,,
44,,,,
